Interest Weight Node Interval 15 menit
Node P1 
Topik 1 : [0.04556945800789398, 0.09968864452999933, 0.1515222754360788, 0.1900092700187957, 0.2709581196201274]
Topik 2 : [0.510799324776722, 0.6001628417969325, 0.6228629719579973, 0.7011116451621442, 0.7847747623061551]
Topik 3 : [0.022869637276713848, 0.0, 0.15382392301771863, 0.18812501117267455, 0.18629635126539856]
Topik 4 : [0.5336265887886494, 0.5874334411620822, 0.6106458790795893, 0.6720398847003851, 0.7089861475880974]
Topik 5 : [0.015781250000048173, 0.01123569171188755, 0.11918259429856186, 0.19377391719427525, 0.24242463272014075]
OI : [false, true, false, true, false]
Node P86 
Topik 1 : [0.025976562500080822, 0.08418175458917496, 0.12868013894028943, 0.0, 0.24050965001566105]
Topik 2 : [0.5, 0.5342285156249427, 0.6094885717740938, 0.6510921960788608, 0.584028193709204]
Topik 3 : [0.5, 0.5512958984374781, 0.609189905227869, 0.5, 0.6581553271152358]
Topik 4 : [0.04375000000013926, 0.08014963877649862, 0.14410971856053306, 0.0, 0.23360971855923074]
Topik 5 : [0.02515625000008228, 0.03584168048964826, 0.12592954269258336, 0.13502183386932456, 0.20896709016958254]
OI : [false, true, true, false, false]
Node P474 
Topik 1 : [0.03900000000001398, 0.0, 0.0, 0.17395307801469637, 0.2697820283388102]
Topik 2 : [0.5, 0.5158125000000435, 0.5, 0.655961862012329, 0.7143652437634036]
Topik 3 : [0.018124023203848975, 0.0, 0.0, 0.11447813714513426, 0.1979858784941086]
Topik 4 : [0.5, 0.5659737854005845, 0.5991920909875627, 0.6478336592364807, 0.6944661337653046]
Topik 5 : [0.015820312500042455, 0.0, 0.09375666496823573, 0.15429294091551124, 0.19117379053578692]
OI : [false, true, false, true, false]

