Interest Weight Node Interval 15 menit
Node P1 
Topik 1 : [0.11068442881545161, 0.6901563083351414, 0.9371962320964287, 0.9591208162945343, 1.0]
Topik 2 : [0.5, 1.0, 0.9999988993672554, 1.0, 1.0]
Topik 3 : [0.0382187500001276, 0.43743416963133563, 1.0, 1.0, 1.0]
Topik 4 : [0.5782187500001423, 0.9932119332210665, 1.0, 0.9954174413168408, 0.9550859721300643]
Topik 5 : [0.060123271588884225, 0.4535531104682662, 0.7309634848802702, 0.7802748437500593, 0.8623694585047985]
OI : [false, true, false, true, false]
Node P86 
Topik 1 : [0.04369379711748956, 0.4116403043860298, 0.6857819996333958, 0.8262589681272744, 0.8354672046454249]
Topik 2 : [0.57492968750013, 1.0, 1.0, 1.0, 1.0]
Topik 3 : [0.5631874991012941, 1.0, 0.9931449072805763, 1.0, 0.999378373631488]
Topik 4 : [0.1049863281252034, 0.46288039265352937, 0.5960521843437292, 0.8218184113798103, 0.922070494914089]
Topik 5 : [0.05162500000018781, 0.5243940012713552, 0.6308810638890168, 0.7286828448709586, 0.7445066359729026]
OI : [false, true, true, false, false]
Node P474 
Topik 1 : [0.030944346105729624, 0.5827151597834511, 0.018784194622046058, 0.8778100578854356, 0.8672305638962996]
Topik 2 : [0.5841875000002853, 0.9662154232299718, 0.5, 1.0, 1.0]
Topik 3 : [0.018914614584562846, 0.4872254662032357, 0.6431360691661815, 0.7419396201823156, 0.8204412419694959]
Topik 4 : [0.5585105285645805, 0.9552318243149039, 0.5, 0.9999990574296882, 1.0]
Topik 5 : [0.05484179687512988, 0.49110831343700684, 0.0, 0.7796949177276516, 0.631816602103141]
OI : [false, true, false, true, false]

